"subject" "condition" "item" "variable" "value"
"8425" 1 "d" 16 "TRC" 0
"8426" 1 "d" 16 "TRC" 0
"8427" 1 "d" 16 "TRC" 4
"8428" 1 "d" 16 "TRC" 3
"8429" 1 "d" 16 "TRC" 2
"8430" 1 "d" 16 "TRC" 0
"8431" 1 "d" 16 "TRC" 0
"8432" 1 "d" 16 "TRC" 1
"8433" 1 "d" 16 "TRC" 1
"8434" 1 "d" 16 "TRC" NA
"8435" 1 "d" 16 "TRC" NA
"8436" 1 "d" 16 "TRC" NA
"8437" 1 "a" 13 "TRC" 0
"8438" 1 "a" 13 "TRC" 1
"8439" 1 "a" 13 "TRC" 5
"8440" 1 "a" 13 "TRC" 3
"8441" 1 "a" 13 "TRC" 5
"8442" 1 "a" 13 "TRC" 4
"8443" 1 "a" 13 "TRC" 6
"8444" 1 "a" 13 "TRC" 1
"8445" 1 "a" 13 "TRC" 1
"8446" 1 "a" 13 "TRC" 3
"8447" 1 "a" 13 "TRC" NA
"8448" 1 "a" 13 "TRC" NA
"8449" 1 "c" 7 "TRC" 0
"8450" 1 "c" 7 "TRC" 3
"8451" 1 "c" 7 "TRC" 6
"8452" 1 "c" 7 "TRC" 5
"8453" 1 "c" 7 "TRC" 4
"8454" 1 "c" 7 "TRC" 1
"8455" 1 "c" 7 "TRC" 8
"8456" 1 "c" 7 "TRC" 2
"8457" 1 "c" 7 "TRC" 3
"8458" 1 "c" 7 "TRC" NA
"8459" 1 "c" 7 "TRC" NA
"8460" 1 "c" 7 "TRC" NA
"8461" 1 "a" 5 "TRC" 0
"8462" 1 "a" 5 "TRC" 2
"8463" 1 "a" 5 "TRC" 6
"8464" 1 "a" 5 "TRC" 2
"8465" 1 "a" 5 "TRC" 4
"8466" 1 "a" 5 "TRC" 5
"8467" 1 "a" 5 "TRC" 7
"8468" 1 "a" 5 "TRC" 1
"8469" 1 "a" 5 "TRC" 1
"8470" 1 "a" 5 "TRC" 0
"8471" 1 "a" 5 "TRC" 1
"8472" 1 "a" 5 "TRC" NA
"8473" 1 "b" 10 "TRC" 0
"8474" 1 "b" 10 "TRC" 3
"8475" 1 "b" 10 "TRC" 8
"8476" 1 "b" 10 "TRC" 4
"8477" 1 "b" 10 "TRC" 4
"8478" 1 "b" 10 "TRC" 4
"8479" 1 "b" 10 "TRC" 3
"8480" 1 "b" 10 "TRC" 8
"8481" 1 "b" 10 "TRC" 5
"8482" 1 "b" 10 "TRC" 1
"8483" 1 "b" 10 "TRC" 0
"8484" 1 "b" 10 "TRC" NA
"8485" 1 "c" 3 "TRC" 0
"8486" 1 "c" 3 "TRC" 3
"8487" 1 "c" 3 "TRC" 4
"8488" 1 "c" 3 "TRC" 9
"8489" 1 "c" 3 "TRC" 9
"8490" 1 "c" 3 "TRC" 7
"8491" 1 "c" 3 "TRC" 3
"8492" 1 "c" 3 "TRC" 6
"8493" 1 "c" 3 "TRC" 3
"8494" 1 "c" 3 "TRC" 2
"8495" 1 "c" 3 "TRC" NA
"8496" 1 "c" 3 "TRC" NA
"8497" 1 "a" 9 "TRC" 0
"8498" 1 "a" 9 "TRC" 3
"8499" 1 "a" 9 "TRC" 1
"8500" 1 "a" 9 "TRC" 4
"8501" 1 "a" 9 "TRC" 3
"8502" 1 "a" 9 "TRC" 5
"8503" 1 "a" 9 "TRC" 2
"8504" 1 "a" 9 "TRC" 2
"8505" 1 "a" 9 "TRC" NA
"8506" 1 "a" 9 "TRC" 1
"8507" 1 "a" 9 "TRC" NA
"8508" 1 "a" 9 "TRC" NA
"8509" 1 "d" 8 "TRC" 0
"8510" 1 "d" 8 "TRC" 4
"8511" 1 "d" 8 "TRC" 5
"8512" 1 "d" 8 "TRC" 3
"8513" 1 "d" 8 "TRC" 4
"8514" 1 "d" 8 "TRC" 4
"8515" 1 "d" 8 "TRC" 2
"8516" 1 "d" 8 "TRC" NA
